見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「現代版画の展開」,展示,～6月25日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017－夏 わかやまの名品特集「おはなしのなかへ」,展示,～9月10日,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,企画展「紀伊徳川家の家臣たちⅡ」　,展示,6月10日?7月17日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）, 埋蔵文化財調査成果展「紀州のあゆみ～発掘された郷土の歴史～」,展示,6月3日?7月2日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,第8回HANI-1選手権（ハニワづくり）,イベント,6月11日13:30-,,小学生以上,各40人（先着順）,350円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしえて！！ヤマゲン先生(2)万葉歌と古代の草木花ガイド,イベント,6月24日10:00?12:00,,小学生以上,30人（先着順）,,6月9日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6124　,073-471-6121,〒640-8301　和歌山市岩橋1412,9:00～16:30（入館は16:01まで）,休館／月曜（祝日の場合次の平日）,前山Ａ58号墳の実物大の埴輪を作ろう(1),イベント,7月8日10:00?16:30,,中学生以上,15人（先着順）,初回350円,6月23日13:00?,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,ウミガメの産卵みれるかな,イベント,6月30日19:00?21:00,千里の浜（みなべ町）,18歳以上,20人（抽選）,,6月16日まで ,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）, 植物標本を作ってみよう,イベント,7月22日13:00?16:00,番所山（白浜町）,小学生以上(小学生は保護者同伴),20人（抽選）,300円～500円 ,7月8日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,干潟の生物観察会,イベント,7月23日10:30?13:00,内之浦干潟（田辺市）,小学生以上（小学生は保護者同伴）,20人（抽選）,,7月9日まで ,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,企画展「万葉日本画展」【後期】,展示,6月6日?8月6日,,18歳以上,30人（先着順）,500円,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,あさもよし きのくに歴史講座,イベント,6月18日13:30?15:00,,18歳以上,30人（先着順）,500円,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,体験教室「お手玉教室」,イベント,6月24日(1)10:30?12:00(2)13:00?14:30,,3歳以上（小学生以下は保護者同伴）,各20人（先着順）,500円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,古典生物と山野草展,展示,6月17･18日、7月1･2日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,野生ラン展,イベント,6月24･25日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,あじさいの剪定教室,イベント,6月25日,,,36人（先着順）,300円,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,山草会・初夏の展示会,イベント,7月1･2日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,園内花と緑の写真コンテスト受付,イベント,7月8?30日,,,,200円,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,6月17・24日、7月8日14:00?、7月1日11:00?,,,,,,入場無料6月6?16日、資料点検のため県立図書館・紀南図書館は休館します。文化情報センターは14日から利用できます。
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,スタイナート・ジャパンツアー2017,イベント,6月17日14:00?16:00,,,250人 （先着順）,"3,500円（前売り3,000円）",,入場無料6月6?16日、資料点検のため県立図書館・紀南図書館は休館します。文化情報センターは14日から利用できます。
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,7月7日12：00?12:30,,,100人程度（先着順）,,,入場無料6月6?16日、資料点検のため県立図書館・紀南図書館は休館します。文化情報センターは14日から利用できます。
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,6月1・11・25日、7月5・9・23日11:00?,,,,"犬については狂犬病予防注射代2,640円が必要です",,入場無料
